Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
platform,"The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.","Affy5.0, Affy6.0, Affymetrix Human Gene 1.0 ST Array, AffymetrixU133AB, AffymetrixU133Plus2, Agilent44Karray, BGISEQ-500, Biocrates p180, Biograph mCT, Bionano Irys, Bruker Avance III, confocalImaging, CosMx Spatial Molecular Imager, ddSEQ Single-Cell Isolator, DNBSEQ, ELISA plate reader, GAIIx, HiSeq1000, HiSeq2000, HiSeq2500, HiSeq3000, HiSeq4000, HiSeqX, Illumina_1M, Illumina_h650, Illumina_HumanOmni1-Quadv1.0, llumina Infinium General Screening Array 24-Kit v3.0, Illumina MouseWG-6 v2.0 expression beadchip, Illumina_Omni2.5-8, Illumina_Omni2.5-8_v1.1, Illumina_Omni2.5-8_v1.3, Illumina_Omni2pt5M, Illumina_Omni5M, Illumina_Omni5-Quad, IlluminaHumanHap300, IlluminaHumanHap650Yv3_A, IlluminaHumanHT-12_V3_0_R1, IlluminaHumanMethylation450, IlluminaMethylationEPIC, IlluminaInfiniumGSAMD-24v2-0, Illumina_Infinium-HumanMethylation450-BeadChip, IlluminaMiSeq, Illumina NovaSeq 6000, IlluminaNovaseq6000,IlluminaNovaSeqXPlus,IlluminaNovaSeqX, IlluminaWholeGenomeDASL, Infinium Global Diversity Array-8, Infinium HumanOmniExpressExome, Infinium Omni2.5Exome-8 v1.1, Infinium Omni2.5Exome-8 v1.3, Infinium Omni2.5Exome-8 v1.4, Infinium Omni2.5Exome-8 v1.5, InfiniumPsychArrayBeadChip, LC-MS Q-TOF, LCMS triple quad, Leco Pegasus IV, LTQOrbitrapXL, Luminex FLEXMAP 3D, Luminex MAGPIX, MiSeq, MSD QuickPlex SQ 120, MSD SECTOR S 600, NanostringnCounter, NanostringnCounter_MouseADPanel, NextSeq500, NextSeq2000, NULISAseq CNS Disease Panel 120, NULISAseq Mouse Panel 120, Olink Target 96, orbitrap, Orbitrap Astral, Orbitrap Exploris 240, OrbiTrap Fusion, Orbitrap Fusion Lumos, PacBioRSII, PacBio Sequel II, PacBio Sequel IIe, Perlegen300Karray, PsychChip, Q Exactive, Q Exactive HF, Q Exactive HF-X, Q Exactive Plus, quadrupole time-of-flight, Quanterix HD-X, Quanterix SP-X, Roche Cobas, SequenomMultiplex, Signa Premier AIR 3T, Simoa HD-1 Analyzer, time-of-flight, timsTOF Pro, triple quadrupole, Visium HD, Visium Spatial Gene Expression V1, Xenium, Xevo G2 QTOF, Xevo TQ-S",,,True,ManifestColumn,,sage.annotations-experimentalData.platform-0.0.26,,string,experimentalData
Affy5.0,Affymetrix Genome-Wide Human SNP 5.0 Array,,,,,platform,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6804,,string,experimentalData
Affy6.0,Affymetrix Genome-Wide Human SNP 6.0 Array,,,,,platform,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6801,,string,experimentalData
Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Gene 1.0 ST Array [transcript (gene) version] in situ oligonucleotide,,,,,platform,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6244,,string,experimentalData
AffymetrixU133AB,Affymetrix U133 AB,,,,,platform,,Sage Bionetworks,,string,experimentalData
AffymetrixU133Plus2,Affymetrix Human Genome U133 Plus 2.0 Array,,,,,platform,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL570,,string,experimentalData
Agilent44Karray,Agilent 44k Microarray,,,,,platform,,Sage Bionetworks,,string,experimentalData
BGISEQ-500,BGISEQ-500 human whole genome sequencing,,,,,platform,,https://www.bgi.com/global/wp-content/uploads/sites/3/2017/04/10.-BGISEQ-500-WGS-Technical-Note-Flyer_20180225-3Mb.pdf,,string,experimentalData
Biocrates p180,Biocrates AbsoluteIDQ P180 metabolomics kit,,,,,platform,,https://biocrates.com/absoluteidq-p180-kit/,,string,experimentalData
Biograph mCT,Wide-bore PET/CT scanner from Siemens,,,,,platform,,https://cdn0.scrvt.com/39b415fb07de4d9656c7b516d8e2d907/1800000005821165/f2ace6ce4141/siemens-healthineers_mi_pet-ct_biograph-mct_product_brochure_1800000005821165.pdf,,string,experimentalData
