Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
treatmentType,,"haloperidol, levetiracetam, placebo, clozapine, control, cuprizone, Abeta42 oligomer, Abeta42 fibril, verubecestat",,,False,DataProperty,,sage.annotations-neuro.treatmentType-0.0.5,,string,experimentalData
haloperidol,A compound composed of a central piperidine structure with hydroxy and p-chlorophenyl substituents at position 4 and an N-linked p-fluorobutyrophenone moiety,,,,,treatmentType,,http://purl.obolibrary.org/obo/CHEBI_5613,,string,experimentalData
levetiracetam,"A pyrrolidinone and carboxamide that is N-methylpyrrolidin-2-one in which one of the methyl hydrogens is replaced by an aminocarbonyl group, while another is replaced by an ethyl group (the S enantiomer). An anticonvulsant, it is used for the treatment of epilepsy in both human and veterinary medicine.",,,,,treatmentType,,http://purl.obolibrary.org/obo/CHEBI_6437,,string,experimentalData
placebo,A negative reference substance is a reference role in which the substance playing the reference substance role is physically similar in appearance to the test substance,,,,,treatmentType,,http://purl.obolibrary.org/obo/OBI_0000169,,string,experimentalData
clozapine,A second generation antipsychotic used in the treatment of psychiatric disorders like schizophrenia.,,,,,treatmentType,,http://purl.obolibrary.org/obo/CHEBI_3766,,string,experimentalData
control,A group used as a standard of comparison in a control experiment.,,,,,treatmentType,,http://purl.obolibrary.org/obo/NCIT_C28143,,string,experimentalData
cuprizone,Cuprizon is an organooxygen compound and an organonitrogen compound. It is functionally related to an alpha-amino acid. Copper chelator that inhibits monoamine oxidase and causes liver and brain damage.,,,,,treatmentType,,https://pubchem.ncbi.nlm.nih.gov/compound/Cuprizone,,string,experimentalData
Abeta42 oligomer,The stable oligomeric preparation of an amyloid beta peptide that corresponds to residues 1-42 of C99.,,,,,treatmentType,,https://doi.org/10.1074/jbc.m201750200,,string,experimentalData
Abeta42 fibril,The fibrillar preparation of an amyloid beta peptide that corresponds to residues 1-42 of C99.,,,,,treatmentType,,https://doi.org/10.1074/jbc.m201750200,,string,experimentalData
verubecestat,Investigational oral beta-site amyloid precursor protein cleaving enzyme (BACE1 or beta secretase) inhibitor,,,,,treatmentType,,https://pubchem.ncbi.nlm.nih.gov/compound/Verubecestat,,string,experimentalData
